id,comment,pagination-url
1617730617-6783,Phòng quá đẹp. Rất hài lòng,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=200;rows=25
1617730604-6503,"Chủ ks thân thiện...hỏi đường chỉ rõ ràng...
Nhận phòng trước",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=100;rows=25
1617730635-7165,"Giá hơi cao và vì dịp lễ nên phải đặt cọc trước 50% giá thuê phòng, phòng 2 người nhưng ở 3 phụ phí thêm 100 k",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=325;rows=25
1617730635-7188,Ko còn phòng view đẹp,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=325;rows=25
1617730632-7083,Máy lạnh hư,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=300;rows=25
1617730604-6519,Mình đã ở đây 2 lần và cả 2 lần mình đặt phòng giường đôi nhưng ks đều xếp 2 giường đôi. Bên cạnh đó nhân viên phục vụ và chú chủ rất friendly. Giá phòng hợp lý.,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=100;rows=25
1617730607-6568,Nhân viên lễ tân quá đẹp trai 😡,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=125;rows=25
1617730607-6595,Không có,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=125;rows=25
1617730600-6423,"Chú chủ Hotel quá ư là dễ thương luôn, rất vui vẻ, thân thiệt, mọi ngừoi ai cũng nhiệt tình và chu đáo.
Chổ ở không chê vào đâu được, phòng rất lớn, đẹp, thoải mái, nhà vệ sinh rất sạch sẽ,....
Một nơi nghỉ mà tốt nhất từ trước đến giờ khi mình đến Vũng Tàu,...",https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=75;rows=25
1617730635-7192,Ko than máy,https://www.booking.com/reviewlist.vi.html?aid=304142;label=gen173nr-1DCAEoggI46AdIKlgEaPQBiAEBmAEquAEXyAEM2AED6AEB-AECiAIBqAIDuAKq67GDBsACAdICJDIwYmVlNTcxLWQ2NjEtNGEwMy05NDJiLTcyNTAzYTI4YjgzNtgCBOACAQ;sid=9a58fdc42f8446fc8f86a82d57cda8d8;cc1=vn;dist=1;pagename=mai-thu;r_lang=vi;srpvid=13ca6b0f30e60081;type=total&;offset=325;rows=25
